# COG	func	name
COG0511	HI	Biotin carboxyl carrier protein
COG0512	EH	Anthranilate/para-aminobenzoate synthase component II
COG0513	L	Superfamily II DNA and RNA helicase
COG0514	L	Superfamily II DNA helicase RecQ
COG0515	T	Serine/threonine protein kinase
COG0516	F	IMP dehydrogenase/GMP reductase
COG0517	T	CBS domain
COG0518	F	GMP synthase - Glutamine amidotransferase domain
COG0519	F	GMP synthase, PP-ATPase domain/subunit
COG0520	E	Selenocysteine lyase/Cysteine desulfurase
COG0521	H	Molybdopterin biosynthesis enzyme MoaB
COG0522	J	Ribosomal protein S4 or related protein
COG0523	R	GTPase, G3E family
COG0524	G	Sugar or nucleoside kinase, ribokinase family
COG0525	J	Valyl-tRNA synthetase
COG0526	O	Thiol-disulfide isomerase or thioredoxin
COG0527	E	Aspartokinase
COG0528	F	Uridylate kinase
COG0529	P	Adenylylsulfate kinase or related kinase
COG0530	P	Ca2+/Na+ antiporter
COG0531	E	Amino acid transporter
COG0532	J	Translation initiation factor IF-2, a GTPase
COG0533	J	tRNA A37 threonylcarbamoyltransferase TsaD
COG0534	V	Na+-driven multidrug efflux pump
COG0535	R	Radical SAM superfamily enzyme, MoaA/NifB/PqqE/SkfB family
COG0536	DL	GTPase involved in cell partioning and DNA repair
COG0537	FGR	Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase
COG0538	C	Isocitrate dehydrogenase
COG0539	J	Ribosomal protein S1
COG0540	F	Aspartate carbamoyltransferase, catalytic chain
COG0541	U	Signal recognition particle GTPase
COG0542	O	ATP-dependent Clp protease ATP-binding subunit ClpA
COG0543	HC	NAD(P)H-flavin reductase
COG0544	O	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)
COG0545	O	FKBP-type peptidyl-prolyl cis-trans isomerase
COG0546	C	Phosphoglycolate phosphatase, HAD superfamily
COG0547	E	Anthranilate phosphoribosyltransferase
COG0548	E	Acetylglutamate kinase
COG0549	E	Carbamate kinase
COG0550	L	DNA topoisomerase IA
COG0551	L	ssDNA-binding Zn-finger and Zn-ribbon domains of topoisomerase 1
COG0552	U	Signal recognition particle GTPase
COG0553	KL	Superfamily II DNA or RNA helicase, SNF2 family
COG0554	C	Glycerol kinase
COG0555	P	ABC-type sulfate transport system, permease component
COG0556	L	Excinuclease UvrABC helicase subunit UvrB
COG0557	K	Exoribonuclease R
COG0558	I	Phosphatidylglycerophosphate synthase
COG0559	E	Branched-chain amino acid ABC-type transport system, permease component
COG0560	E	Phosphoserine phosphatase
COG0561	HR	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases
COG0562	M	UDP-galactopyranose mutase
COG0563	F	Adenylate kinase or related kinase
COG0564	J	Pseudouridylate synthase, 23S rRNA- or tRNA-specific
COG0565	J	tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase
COG0566	J	tRNA G18 (ribose-2'-O)-methylase SpoU
COG0567	C	2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes
COG0568	K	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)
COG0569	P	Trk K+ transport system, NAD-binding component
COG0571	K	dsRNA-specific ribonuclease
COG0572	F	Uridine kinase
COG0573	P	ABC-type phosphate transport system, permease component
COG0574	G	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
COG0575	I	CDP-diglyceride synthetase
COG0576	O	Molecular chaperone GrpE (heat shock protein)
COG0577	V	ABC-type antimicrobial peptide transport system, permease component
COG0578	C	Glycerol-3-phosphate dehydrogenase
COG0579	G	L-2-hydroxyglutarate oxidase LhgO
COG0580	G	Glycerol uptake facilitator and related aquaporins (Major Intrinsic Protein Family)
COG0581	P	ABC-type phosphate transport system, permease component
COG0582	LX	Integrase
COG0583	K	DNA-binding transcriptional regulator, LysR family
COG0584	I	Glycerophosphoryl diester phosphodiesterase
COG0585	J	tRNA(Glu) U13 pseudouridine synthase TruD
COG0586	S	Uncharacterized membrane protein DedA, SNARE-associated domain
COG0587	L	DNA polymerase III, alpha subunit
COG0588	G	Phosphoglycerate mutase (BPG-dependent)
COG0589	T	Nucleotide-binding universal stress protein,  UspA family
COG0590	J	tRNA(Arg) A34 adenosine deaminase TadA
COG0591	E	Na+/proline symporter
COG0592	L	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog
COG0593	L	Chromosomal replication initiation ATPase DnaA
COG0594	J	RNase P protein component
COG0595	J	mRNA degradation ribonuclease J1/J2
COG0596	HR	Pimeloyl-ACP methyl ester carboxylesterase
COG0597	MU	Lipoprotein signal peptidase
COG0598	P	Mg2+ and Co2+ transporter CorA
COG0599	R	Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family
COG0600	P	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
COG0601	EP	ABC-type dipeptide/oligopeptide/nickel transport system, permease component
COG0602	R	Organic radical activating enzyme
COG0603	J	7-cyano-7-deazaguanine synthase (queuosine biosynthesis)
COG0604	CR	NADPH:quinone reductase or related Zn-dependent oxidoreductase
COG0605	P	Superoxide dismutase
COG0606	O	Predicted ATPase with chaperone activity
COG0607	P	Rhodanese-related sulfurtransferase
COG0608	L	Single-stranded DNA-specific exonuclease, DHH superfamily, may be involved in archaeal DNA replication intiation
COG0609	P	ABC-type Fe3+-siderophore transport system, permease component
COG0610	V	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...
COG0611	H	Thiamine monophosphate kinase
COG0612	R	Predicted Zn-dependent peptidase
COG0613	R	Predicted metal-dependent phosphoesterase TrpH, contains PHP domain
COG0614	P	ABC-type Fe3+-hydroxamate transport system, periplasmic component
COG0615	M	Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family
COG0616	O	Periplasmic serine protease, ClpP class
COG0617	J	tRNA nucleotidyltransferase/poly(A) polymerase
COG0618	F	nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs
COG0619	H	Energy-coupling factor transporter transmembrane protein EcfT
COG0620	E	Methionine synthase II (cobalamin-independent)
COG0621	J	tRNA A37 methylthiotransferase MiaB
COG0622	R	Predicted phosphodiesterase
COG0623	I	Enoyl-[acyl-carrier-protein] reductase (NADH)
COG0624	E	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
COG0625	O	Glutathione S-transferase
COG0626	E	Cystathionine beta-lyase/cystathionine gamma-synthase
COG0627	V	S-formylglutathione hydrolase FrmB
COG0628	R	Predicted PurR-regulated permease PerM
COG0629	L	Single-stranded DNA-binding protein
COG0630	U	Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase
COG0631	T	Serine/threonine protein phosphatase PrpC
COG0632	L	Holliday junction resolvasome RuvABC DNA-binding subunit
COG0633	C	Ferredoxin
COG0634	F	Hypoxanthine-guanine phosphoribosyltransferase
COG0635	H	Coproporphyrinogen III oxidase or related Fe-S oxidoreductase
COG0636	C	FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K
COG0637	GR	Beta-phosphoglucomutase or related phosphatase, HAD superfamily
COG0638	O	20S proteasome, alpha and beta subunits
COG0639	T	Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family
COG0640	K	DNA-binding transcriptional regulator, ArsR family
COG0641	O	Sulfatase maturation enzyme AslB, radical SAM superfamily
COG0642	T	Signal transduction histidine kinase
COG0643	NT	Chemotaxis protein histidine kinase CheA
COG0644	C	Dehydrogenase (flavoprotein)
COG0645	R	Predicted kinase
COG0646	E	Methionine synthase I (cobalamin-dependent), methyltransferase domain
COG0647	F	Ribonucleotide monophosphatase NagD, HAD superfamily
COG0648	L	Endonuclease IV
COG0649	C	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)
COG0650	C	Formate hydrogenlyase subunit 4
COG0651	CP	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit
COG0652	O	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family
COG0653	U	Preprotein translocase subunit SecA (ATPase, RNA helicase)
COG0654	HC	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
COG0655	C	Multimeric flavodoxin WrbA
COG0656	Q	Aldo/keto reductase, related to diketogulonate reductase
COG0657	I	Acetyl esterase/lipase
COG0658	R	Predicted membrane metal-binding protein
COG0659	P	Sulfate permease or related transporter, MFS superfamily
COG0661	HT	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family
COG0662	G	Mannose-6-phosphate isomerase, cupin superfamily
COG0663	R	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily
COG0664	T	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases
COG0665	E	Glycine/D-amino acid oxidase (deaminating)
COG0666	T	Ankyrin repeat
COG0667	R	Predicted oxidoreductase (related to aryl-alcohol dehydrogenase)
COG0668	M	Small-conductance mechanosensitive channel
COG0669	H	Phosphopantetheine adenylyltransferase
COG0670	R	Integral membrane protein, interacts with FtsH
COG0671	I	Membrane-associated phospholipid phosphatase
COG0672	P	High-affinity Fe2+/Pb2+ permease
COG0673	R	Predicted dehydrogenase
COG0674	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit
COG0675	X	Transposase
COG0676	G	D-hexose-6-phosphate mutarotase
COG0677	M	UDP-N-acetyl-D-mannosaminuronate dehydrogenase
COG0678	O	Peroxiredoxin
COG0679	R	Predicted permease
COG0680	C	Ni,Fe-hydrogenase maturation factor
COG0681	U	Signal peptidase I
COG0682	M	Prolipoprotein diacylglyceryltransferase
COG0683	E	ABC-type branched-chain amino acid transport system, periplasmic component
COG0684	J	Regulator of RNase E activity RraA
COG0685	E	5,10-methylenetetrahydrofolate reductase
COG0686	E	Alanine dehydrogenase
COG0687	E	Spermidine/putrescine-binding periplasmic protein
COG0688	I	Phosphatidylserine decarboxylase
COG0689	J	Ribonuclease PH
COG0690	U	Preprotein translocase subunit SecE
COG0691	O	tmRNA-binding protein
COG0692	L	Uracil DNA glycosylase
COG0693	R	Putative intracellular protease/amidase
COG0694	O	Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain
COG0695	O	Glutaredoxin
COG0696	G	Phosphoglycerate mutase (BPG-independent, AlkP superfamily)
COG0697	GER	Permease of the drug/metabolite transporter (DMT) superfamily
COG0698	G	Ribose 5-phosphate isomerase RpiB
COG0699	L	Replication fork clamp-binding protein CrfC (dynamin-like GTPase family)
COG0700	S	Spore maturation protein SpmB (function unknown)
COG0701	S	Uncharacterized membrane protein YraQ, UPF0718 family
COG0702	R	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains
COG0703	E	Shikimate kinase
COG0704	P	Phosphate uptake regulator
COG0705	O	Membrane associated serine protease, rhomboid family
COG0706	M	Membrane protein insertase Oxa1/YidC/SpoIIIJ, required for the localization of integral membrane proteins
COG0707	M	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase
COG0708	L	Exonuclease III
COG0709	E	Selenophosphate synthase
COG0710	E	3-dehydroquinate dehydratase
COG0711	C	FoF1-type ATP synthase, membrane subunit b or b'
COG0712	C	FoF1-type ATP synthase, delta subunit
COG0713	C	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)
COG0714	R	MoxR-like ATPase
COG0715	P	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component
COG0716	C	Flavodoxin
COG0717	F	Deoxycytidine triphosphate deaminase
COG0718	R	Conserved DNA-binding protein YbaB (function unknown)
COG0719	O	Fe-S cluster assembly scaffold protein SufB
COG0720	H	6-pyruvoyl-tetrahydropterin synthase
COG0721	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit
COG0722	E	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase
COG0723	C	Rieske Fe-S protein
COG0724	J	 RNA recognition motif (RRM) domain
COG0725	P	ABC-type molybdate transport system, periplasmic component
COG0726	GM	Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family
COG0727	R	Fe-S-cluster containining protein
COG0728	M	Peptidoglycan biosynthesis protein MviN/MurJ, putative lipid II flippase
COG0729	M	Outer membrane translocation and assembly module TamA
COG0730	S	Uncharacterized membrane protein YfcA
COG0731	J	Wyosine [tRNA(Phe)-imidazoG37] synthetase, radical SAM superfamily
COG0732	V	Restriction endonuclease S subunit
COG0733	R	Na+-dependent transporter, SNF family
COG0735	P	Fe2+ or Zn2+ uptake regulation protein
COG0736	I	Phosphopantetheinyl transferase (holo-ACP synthase)
COG0737	FV	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family
COG0738	G	Fucose permease
COG0739	M	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain
COG0740	O	ATP-dependent protease ClpP, protease subunit
COG0741	M	Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)
COG0742	J	16S rRNA G966 N2-methylase RsmD
COG0743	I	1-deoxy-D-xylulose 5-phosphate reductoisomerase
COG0744	M	Membrane carboxypeptidase (penicillin-binding protein)
COG0745	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain
COG0746	H	Molybdopterin-guanine dinucleotide biosynthesis protein A
COG0747	E	ABC-type transport system, periplasmic component
COG0748	P	Putative heme iron utilization protein
COG0749	L	DNA polymerase I - 3'-5' exonuclease and polymerase domains
COG0750	OK	Membrane-associated protease RseP, regulator of RpoE activity
COG0751	J	Glycyl-tRNA synthetase, beta subunit
COG0752	J	Glycyl-tRNA synthetase, alpha subunit
COG0753	P	Catalase
COG0754	E	Glutathionylspermidine synthase
COG0755	O	ABC-type transport system involved in cytochrome c biogenesis, permease component
COG0756	FV	dUTPase
COG0757	E	3-dehydroquinate dehydratase
COG0758	L	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake
COG0759	M	Membrane-anchored protein YidD, putatitve component of membrane protein insertase Oxa1/YidC/SpoIIIJ
COG0760	O	Parvulin-like peptidyl-prolyl isomerase
COG0761	I	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH
COG0762	S	Uncharacterized conserved protein YggT, Ycf19 family
COG0763	M	Lipid A disaccharide synthetase
COG0764	I	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase
COG0765	E	ABC-type amino acid transport system, permease component
COG0766	M	UDP-N-acetylglucosamine enolpyruvyl transferase
COG0767	M	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, permease component MlaE
COG0768	DM	Cell division protein FtsI/penicillin-binding protein 2
COG0769	M	UDP-N-acetylmuramyl tripeptide synthase
COG0770	M	UDP-N-acetylmuramyl pentapeptide synthase
COG0771	M	UDP-N-acetylmuramoylalanine-D-glutamate ligase
COG0772	D	Bacterial cell division protein FtsW, lipid II flippase
COG0773	M	UDP-N-acetylmuramate-alanine ligase
COG0774	M	UDP-3-O-acyl-N-acetylglucosamine deacetylase
COG0775	F	Nucleoside phosphorylase
COG0776	L	Bacterial nucleoid DNA-binding protein
COG0777	I	Acetyl-CoA carboxylase beta subunit
COG0778	C	Nitroreductase
COG0779	J	Ribosome maturation factor RimP
COG0780	J	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily
COG0781	K	Transcription termination factor NusB
COG0782	K	Transcription elongation factor, GreA/GreB family
COG0783	PV	DNA-binding ferritin-like protein (oxidative damage protectant)
COG0784	T	CheY chemotaxis protein or a CheY-like REC (receiver) domain
COG0785	CO	Cytochrome c biogenesis protein CcdA
COG0786	E	Na+/glutamate symporter
COG0787	M	Alanine racemase
COG0788	F	Formyltetrahydrofolate hydrolase
COG0789	K	DNA-binding transcriptional regulator, MerR family
COG0790	T	TPR repeat
COG0791	M	Cell wall-associated hydrolase, NlpC family
COG0792	L	Predicted endonuclease distantly related to archaeal Holliday junction resolvase
COG0793	O	C-terminal processing protease CtpA/Prc, contains a PDZ domain
COG0794	GM	D-arabinose 5-phosphate isomerase GutQ
COG0795	MN	Lipopolysaccharide export LptBFGC system, permease protein LptF
COG0796	M	Glutamate racemase
COG0797	M	Rare lipoprotein A, peptidoglycan hydrolase digesting "naked" glycans, contains C-terminal SPOR domain
COG0798	P	Arsenite efflux pump ArsB, ACR3 family
COG0799	J	Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits
COG0800	G	2-keto-3-deoxy-6-phosphogluconate aldolase
COG0801	H	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase
COG0802	J	tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE
COG0803	P	ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA
COG0804	E	Urease alpha subunit
COG0805	U	Sec-independent protein secretion pathway component TatC
COG0806	J	Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing
COG0807	H	GTP cyclohydrolase II
COG0809	J	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)
COG0810	M	Periplasmic protein TonB, links inner and outer membranes
COG0811	U	Biopolymer transport protein ExbB/TolQ
COG0812	M	UDP-N-acetylenolpyruvoylglucosamine reductase
COG0813	F	Purine-nucleoside phosphorylase
COG0814	E	Amino acid permease
COG0815	M	Apolipoprotein N-acyltransferase
COG0816	K	RNase H-fold protein, predicted Holliday junction resolvase in Firmicutes and mycoplasms, involved in anti-termination at Rho-dependent terminators
COG0817	L	Holliday junction resolvasome RuvABC endonuclease subunit
COG0818	I	Diacylglycerol kinase
COG0819	H	Thiaminase
COG0820	J	Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37
COG0821	I	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE
COG0822	O	NifU homolog involved in Fe-S cluster formation
COG0823	U	Periplasmic component of the Tol biopolymer transport system
COG0824	I	Acyl-CoA thioesterase FadM
COG0825	I	Acetyl-CoA carboxylase alpha subunit
COG0826	O	Collagenase-like protease, PrtC family
COG0827	L	Adenine-specific DNA methylase
COG0828	J	Ribosomal protein S21
COG0829	O	Urease accessory protein UreH
COG0830	O	Urease accessory protein UreF
COG0831	E	Urease gamma subunit
COG0832	E	Urease beta subunit
COG0833	E	Amino acid permease
COG0834	ET	ABC-type amino acid transport/signal transduction system, periplasmic component/domain
COG0835	NT	Chemotaxis signal transduction protein
COG0836	M	Mannose-1-phosphate guanylyltransferase
COG0837	G	Glucokinase
COG0838	C	NADH:ubiquinone oxidoreductase subunit 3 (chain A)
COG0839	C	NADH:ubiquinone oxidoreductase subunit 6 (chain J)
COG0840	NT	Methyl-accepting chemotaxis protein
COG0841	V	Multidrug efflux pump subunit AcrB
COG0842	V	ABC-type multidrug transport system, permease component
COG0843	C	Heme/copper-type cytochrome/quinol oxidase, subunit 1
COG0845	MV	Multidrug efflux pump subunit AcrA (membrane-fusion protein)
COG0846	O	NAD-dependent protein deacetylase, SIR2 family
COG0847	L	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease
COG0848	U	Biopolymer transport protein ExbD
COG0849	D	Cell division ATPase FtsA
COG0850	D	Septum formation inhibitor MinC
COG0851	D	Septum formation topological specificity factor MinE
COG0852	C	NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)
COG0853	H	Aspartate 1-decarboxylase
COG0854	H	Pyridoxine 5'-phosphate synthase PdxJ
COG0855	P	Polyphosphate kinase
COG0856	F	Orotate phosphoribosyltransferase homolog
COG0857	R	BioD-like N-terminal domain of phosphotransacetylase
COG0858	J	Ribosome-binding factor A
COG0859	M	ADP-heptose:LPS heptosyltransferase
COG0860	M	N-acetylmuramoyl-L-alanine amidase
COG0861	P	Membrane protein TerC, possibly involved in tellurium resistance
COG0863	L	DNA modification methylase
COG0864	K	Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain
COG1001	F	Adenine deaminase
COG1002	V	Type II restriction/modification system, DNA methylase subunit YeeA
COG1003	E	Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain
COG1004	M	UDP-glucose 6-dehydrogenase
COG1005	C	NADH:ubiquinone oxidoreductase subunit 1 (chain H)
COG1006	P	Multisubunit Na+/H+ antiporter, MnhC subunit
COG1007	C	NADH:ubiquinone oxidoreductase subunit 2 (chain N)
COG1008	C	NADH:ubiquinone oxidoreductase subunit 4 (chain M)
COG1009	CP	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit
COG1010	H	Precorrin-3B methylase
COG1011	H	FMN phosphatase YigB, HAD superfamily
COG1012	C	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
COG1013	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit
COG1014	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit
COG1015	G	Phosphopentomutase
COG1017	C	Hemoglobin-like flavoprotein
COG1018	C	Ferredoxin-NADP reductase
COG1019	H	Phosphopantetheine adenylyltransferase
COG1020	Q	Non-ribosomal peptide synthetase component F
COG1021	Q	Non-ribosomal peptide synthetase component E (peptide arylation enzyme)
COG1022	I	Long-chain acyl-CoA synthetase (AMP-forming)
COG1023	G	6-phosphogluconate dehydrogenase (decarboxylating)
COG1024	I	Enoyl-CoA hydratase/carnithine racemase
COG1025	O	Secreted/periplasmic Zn-dependent peptidases, insulinase-like
COG1026	O	Zn-dependent peptidase, M16 (insulinase) family
COG1027	E	Aspartate ammonia-lyase
COG1028	IQR	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family
COG1029	C	Formylmethanofuran dehydrogenase subunit B
COG1030	O	Membrane-bound serine protease (ClpP class)
COG1031	R	Radical SAM superfamily enzyme with C-terminal helix-hairpin-helix motif
COG1032	R	Radical SAM superfamily enzyme YgiQ, UPF0313 family
COG1033	R	Predicted exporter protein, RND superfamily
COG1034	C	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)
COG1035	C	Coenzyme F420-reducing hydrogenase, beta subunit
COG1036	C	Archaeal flavoprotein
COG1038	C	Pyruvate carboxylase
COG1039	L	Ribonuclease HIII
COG1040	R	Predicted amidophosphoribosyltransferases
COG1041	J	tRNA G10  N-methylase Trm11
COG1042	C	Acyl-CoA synthetase (NDP forming)
COG1043	M	Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase
COG1044	M	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
COG1045	E	Serine acetyltransferase
COG1047	O	FKBP-type peptidyl-prolyl cis-trans isomerase 2
COG1048	C	Aconitase A
COG1049	C	Aconitase B
COG1051	F	ADP-ribose pyrophosphatase YjhB, NUDIX family
COG1052	CHR	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase
COG1053	C	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit
COG1054	R	Predicted sulfurtransferase
COG1055	P	Na+/H+ antiporter NhaD or related arsenite permease
COG1056	H	Nicotinamide mononucleotide adenylyltransferase
COG1057	H	Nicotinic acid mononucleotide adenylyltransferase
COG1058	R	Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA
COG1059	LV	Thermostable 8-oxoguanine DNA glycosylase
COG1060	H	2-iminoacetate synthase ThiH (tyrosine cleavage enzyme, thamine biosynthesis)
COG1061	KL	Superfamily II DNA or RNA helicase
COG1062	R	Zn-dependent alcohol dehydrogenase
COG1063	ER	Threonine dehydrogenase or related Zn-dependent dehydrogenase
COG1064	G	D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family
COG1066	O	Predicted ATP-dependent serine protease
COG1067	O	Predicted ATP-dependent protease
COG1069	G	Ribulose kinase
COG1070	G	Sugar (pentulose or hexulose) kinase
COG1071	C	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha
COG1072	H	Panthothenate kinase
COG1073	T	Fermentation-respiration switch protein FrsA, has esterase activity, DUF1100 family
COG1074	L	ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)
COG1075	I	Triacylglycerol esterase/lipase EstA, alpha/beta hydrolase fold
COG1076	O	DnaJ-domain-containing proteins 1
COG1077	D	Actin-like ATPase involved in cell morphogenesis
COG1078	R	HD superfamily phosphohydrolase
COG1079	R	ABC-type uncharacterized transport system, permease component
COG1080	G	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)
COG1082	G	Sugar phosphate isomerase/epimerase
COG1083	M	CMP-N-acetylneuraminic acid synthetase
COG1084	R	GTP-binding protein, GTP1/Obg family
COG1085	G	Galactose-1-phosphate uridylyltransferase
COG1086	MO	NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC
COG1087	M	UDP-glucose 4-epimerase
COG1088	M	dTDP-D-glucose 4,6-dehydratase
COG1089	M	GDP-D-mannose dehydratase
COG1090	R	NAD dependent epimerase/dehydratase family enzyme
COG1091	M	dTDP-4-dehydrorhamnose reductase
COG1092	J	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI
COG1093	J	Translation initiation factor 2, alpha subunit (eIF-2alpha)
COG1094	J	rRNA processing protein Krr1/Pno1, contains KH domain
COG1095	K	DNA-directed RNA polymerase, subunit E'/Rpb7
COG1096	J	Exosome complex RNA-binding protein Csl4, contains S1 and Zn-ribbon domains
COG1097	J	Exosome complex RNA-binding protein Rrp4, contains S1 and KH domains
COG1098	R	Predicted RNA-binding protein, contains ribosomal protein S1 (RPS1) domain
COG1099	R	Predicted metal-dependent hydrolase, TIM-barrel fold
COG1100	R	GTPase SAR1 family domain
COG1101	R	ABC-type uncharacterized transport system, ATPase component
COG1102	F	Cytidylate kinase
COG1103	J	Archaeal Cys-tRNA synthase (O-phospho-L-seryl-tRNA:Cys-tRNA synthase)
COG1104	E	Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme
COG1105	G	Fructose-1-phosphate kinase or kinase (PfkB)
COG1106	R	ATPase/GTPase, AAA15 family
COG1107	L	Archaea-specific RecJ-like exonuclease, contains DnaJ-type Zn finger domain
COG1108	P	ABC-type Mn2+/Zn2+ transport system, permease component
COG1109	G	Phosphomannomutase
COG1110	L	Reverse gyrase
COG1111	L	ERCC4-related helicase
COG1112	L	Superfamily I DNA and/or RNA helicase
COG1113	E	L-asparagine transporter and related permeases
COG1114	E	Branched-chain amino acid permeases
COG1115	E	Na+/alanine symporter
COG1116	P	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
COG1117	P	ABC-type phosphate transport system, ATPase component
COG1118	P	ABC-type sulfate/molybdate transport systems, ATPase component
COG1119	P	ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA
COG1120	PH	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component
COG1121	P	ABC-type Mn2+/Zn2+ transport system, ATPase component
COG1122	PR	Energy-coupling factor transporter ATP-binding protein EcfA2
COG1123	O	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain
COG1124	EP	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
COG1125	E	ABC-type proline/glycine betaine transport system, ATPase component
COG1126	E	ABC-type polar amino acid transport system, ATPase component
COG1127	M	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, ATPase component MlaF
COG1129	G	ABC-type sugar transport system, ATPase component
COG1131	V	ABC-type multidrug transport system, ATPase component
COG1132	V	ABC-type multidrug transport system, ATPase and permease component
COG1133	I	ABC-type long-chain fatty acid transport system, fused permease and ATPase components
COG1134	GM	ABC-type polysaccharide/polyol phosphate transport system, ATPase component
COG1135	E	ABC-type methionine transport system, ATPase component
COG1136	M	ABC-type lipoprotein export system, ATPase component
